番組	回	タイトル	再生	配信日	再生時間(分)	再生回数
heldio	994	#994. 挨拶って言語学ではどう考えられているの？ --- 言語の交感的機能	<a href='https://voicy.jp/channel/1950/731098'>play link</a>	2024/02/19	13	819
heldio	993	#993. コメント返し 2024/02/18(Sun)	<a href='https://voicy.jp/channel/1950/730567'>play link</a>	2024/02/18	37	957
helwa	95	【英語史の輪 #95】boss ってなんで s が2つなの？	<a href='https://voicy.jp/channel/1950/730393'>play link</a>	2024/02/17	20	107
heldio	992	#992. while の文法化（続き）	<a href='https://voicy.jp/channel/1950/729656'>play link</a>	2024/02/17	14	792
heldio	991	#991. while の文法化	<a href='https://voicy.jp/channel/1950/727547'>play link</a>	2024/02/16	15	1053
helwa	94	【英語史の輪 #94】言語は女系？	<a href='https://voicy.jp/channel/1950/728352'>play link</a>	2024/02/15	15	325
heldio	990	#990. 文法化とは何か？	<a href='https://voicy.jp/channel/1950/726769'>play link</a>	2024/02/15	13	1046
heldio	989	#989. 内容語と機能語のそれぞれの特徴を比較する	<a href='https://voicy.jp/channel/1950/726740'>play link</a>	2024/02/14	15	916
helwa	93	【英語史の輪 #93】「言語変化」とは言語が変化すること？	<a href='https://voicy.jp/channel/1950/727496'>play link</a>	2024/02/13	29	111
heldio		有料 英語史の古典的名著 Baugh and Cable を読む (44) The Definite Article	<a href='https://voicy.jp/channel/1950/726791'>play link</a>	2024/02/13	28	66
heldio	988	#988. ぎゅうぎゅうの単語とすかすかの単語 --- 内容語と機能語	<a href='https://voicy.jp/channel/1950/726705'>play link</a>	2024/02/13	13	942
heldio	987	#987. 接辞で増やす英語のボキャビル --- 金田拓さん，五所万実さん，小河舜さんとの対談	<a href='https://voicy.jp/channel/1950/722741'>play link</a>	2024/02/12	31	947
heldio	986	#986. コメント返し 2024/02/11(Sun)	<a href='https://voicy.jp/channel/1950/725660'>play link</a>	2024/02/11	27	738
helwa	92	【英語史の輪 #92】昨晩「いのほたチャンネル」に水野太貴さんをお招きしての初の公開収録を終えました	<a href='https://voicy.jp/channel/1950/725600'>play link</a>	2024/02/10	17	98
heldio		有料 英語史の古典的名著 Baugh and Cable を読む (43) The Adjective	<a href='https://voicy.jp/channel/1950/724904'>play link</a>	2024/02/10	26	70
heldio	985	#985. ちょっと遅れて新年会 --- 金田拓さん，五所万実さん，小河舜さんとの景気のよい雑談回	<a href='https://voicy.jp/channel/1950/722699'>play link</a>	2024/02/10	26	983
heldio	984	#984. 言語における「性」は4種類	<a href='https://voicy.jp/channel/1950/724204'>play link</a>	2024/02/09	19	1536
helwa	91	【英語史の輪 #91】否定された「言語年代学」	<a href='https://voicy.jp/channel/1950/724148'>play link</a>	2024/02/08	30	146
heldio	983	#983. B&Cの第42節「文法性」の対談精読実況生中継 with 金田拓さんと小河舜さん 1時間	<a href='https://voicy.jp/channel/1950/722512'>play link</a>	2024/02/08	4	676
heldio	982	#982. lunar よもやま話	<a href='https://voicy.jp/channel/1950/721684'>play link</a>	2024/02/07	11	746
helwa	90	【英語史の輪 #90】ごめんなさいの言語学 --- 五所万実さん，金田拓さん，小河舜さんとの飲み会対談	<a href='https://voicy.jp/channel/1950/722587'>play link</a>	2024/02/06	0	62
heldio	981	#981. moon よもやま話	<a href='https://voicy.jp/channel/1950/720980'>play link</a>	2024/02/06	16	1144
heldio	980	#980. 赤ちゃんは無言語状態で育てられても言語を習得できるのか？ --- 目白大学の学生から寄せてもらった素朴な疑問	<a href='https://voicy.jp/channel/1950/720918'>play link</a>	2024/02/05	18	2394
heldio		有料 英語史の古典的名著 Baugh and Cable を読む (41) The Noun	<a href='https://voicy.jp/channel/1950/720875'>play link</a>	2024/02/04	29	80
heldio	979	#979. コメント返し 2024/02/04(Sun)	<a href='https://voicy.jp/channel/1950/720365'>play link</a>	2024/02/04	28	754
helwa	89	【英語史の輪 #89】凡例 (legend) は良質の教材 --- legend の語源	<a href='https://voicy.jp/channel/1950/720349'>play link</a>	2024/02/03	20	104
heldio	978	#978. 『英語語源辞典』の語義・初出年代 --- khelf 藤原くんと凡例を読もう	<a href='https://voicy.jp/channel/1950/717882'>play link</a>	2024/02/03	24	843
heldio	977	#977. 『英語語源辞典』を読むシリーズ (7) --- khelf 藤原くんと同音異義語 bank の項を精読する	<a href='https://voicy.jp/channel/1950/717858'>play link</a>	2024/02/02	29	1172
helwa	88	【英語史の輪 #88】年度の成果が実る時期	<a href='https://voicy.jp/channel/1950/718899'>play link</a>	2024/02/01	17	83
heldio	976	#976. 言語変化の内的要因と外的要因	<a href='https://voicy.jp/channel/1950/717356'>play link</a>	2024/02/01	20	1060
heldio	975	#975. 『英語語源辞典』の収録語彙	<a href='https://voicy.jp/channel/1950/717312'>play link</a>	2024/01/31	23	1179
helwa	87	【英語史の輪 #87】1年間の「英語史」の講義を終えて（続編）	<a href='https://voicy.jp/channel/1950/716572'>play link</a>	2024/01/30	20	88
heldio	974	#974. 1年間の「英語史」の講義を終えて --- 2023年度版	<a href='https://voicy.jp/channel/1950/716550'>play link</a>	2024/01/30	16	773
heldio	973	#973. 単語とは何か？	<a href='https://voicy.jp/channel/1950/715746'>play link</a>	2024/01/29	20	1102
heldio	972	#972. コメント返し 2024/01/28(Sun)	<a href='https://voicy.jp/channel/1950/715181'>play link</a>	2024/01/28	31	770
helwa	86	【英語史の輪 #86】bound や sound の -d はどこから来たの？	<a href='https://voicy.jp/channel/1950/715155'>play link</a>	2024/01/27	27	150
heldio		有料 英語史の古典的名著 Baugh and Cable を読む (40) Old English Grammar	<a href='https://voicy.jp/channel/1950/711353'>play link</a>	2024/01/27	30	63
heldio	971	#971. 近代英語の綴字 --- 2月24日（土）の朝カルのシリーズ講座第4回に向けて	<a href='https://voicy.jp/channel/1950/714472'>play link</a>	2024/01/27	14	606
heldio	970	#970. comment clause と認識動詞の類義語 --- 秋元実治先生との対談（続き）	<a href='https://voicy.jp/channel/1950/708532'>play link</a>	2024/01/26	23	837
helwa	85	【英語史の輪 #85】「『英語語源辞典』を読む（飲む）会」を画策しています	<a href='https://voicy.jp/channel/1950/713399'>play link</a>	2024/01/25	22	112
heldio	969	#969. inbound/outbound の bound って何？ --- 驚異の同音異義語4連発	<a href='https://voicy.jp/channel/1950/710538'>play link</a>	2024/01/25	15	1125
heldio	39	有料 【有料 #39】英語史の古典的名著 Baugh and Cable を読む (39) Old English Vocabulary	<a href='https://voicy.jp/channel/1950/710572'>play link</a>	2024/01/24	26	64
heldio	968	#968. マジック e の起源 --- name, five, cute の語末の <e> は何？	<a href='https://voicy.jp/channel/1950/710494'>play link</a>	2024/01/24	21	1617
helwa	84	【英語史の輪 #84】発音辞書って使ったことありますか？	<a href='https://voicy.jp/channel/1950/711270'>play link</a>	2024/01/23	27	114
heldio	967	#967. 菊地翔太ゼミでの「英語史コンテンツマラソン」企画，ありがとう！	<a href='https://voicy.jp/channel/1950/709483'>play link</a>	2024/01/23	25	882
heldio	966	#966. 「変なアルファベット表」の n- の単語のための決選投票 --- khelf 寺澤志帆さんからの呼びかけ	<a href='https://voicy.jp/channel/1950/709437'>play link</a>	2024/01/22	13	455
heldio	38	有料 【有料 #38】英語史の古典的名著 Baugh and Cable を読む (38) Old English Pronunciation	<a href='https://voicy.jp/channel/1950/710017'>play link</a>	2024/01/21	36	94
heldio	965	#965. コメント返し 2024/01/21(Sun)	<a href='https://voicy.jp/channel/1950/709963'>play link</a>	2024/01/21	33	843
helwa	83	【英語史の輪 #83】なぜコトバはおもしろいのか？（生放送）	<a href='https://voicy.jp/channel/1950/709993'>play link</a>	2024/01/20	30	85
heldio	964	#964. comment clause とは何か？ --- 秋元実治先生との対談	<a href='https://voicy.jp/channel/1950/708509'>play link</a>	2024/01/20	31	988
heldio	963	#963. コーパスとは何か？	<a href='https://voicy.jp/channel/1950/708479'>play link</a>	2024/01/19	21	1052
helwa	82	【英語史の輪 #82】I think, I suppose, I believe --- 認識動詞は難しい	<a href='https://voicy.jp/channel/1950/708626'>play link</a>	2024/01/18	18	100
heldio	962	"#962. ""a feature of great importance"" --- 「of + 抽象名詞」＝「その名詞の形容詞」"	<a href='https://voicy.jp/channel/1950/707611'>play link</a>	2024/01/18	13	891
heldio	961	#961. 評言節 if you like 「そう呼びたければ」	<a href='https://voicy.jp/channel/1950/705927'>play link</a>	2024/01/17	13	881
helwa	81	【英語史の輪 #81】ジップの法則と新語・古語	<a href='https://voicy.jp/channel/1950/705877'>play link</a>	2024/01/16	21	115
heldio	960	#960. なぜ日本語は5母音なのですか？ --- 英語に関する素朴な疑問　千本ノック　目白大学編　パート2	<a href='https://voicy.jp/channel/1950/705833'>play link</a>	2024/01/16	25	1150
heldio	37	有料 【有料 #37】英語史の古典的名著 Baugh and Cable を読む (37) The Dialects of Old English	<a href='https://voicy.jp/channel/1950/705158'>play link</a>	2024/01/15	30	63
heldio	959	#959. -ly 形容詞にさらに -ly をつけて副詞を作るのはダメ？	<a href='https://voicy.jp/channel/1950/705135'>play link</a>	2024/01/15	14	808
heldio	958	#958. コメント返し 2024/01/07(Sun)	<a href='https://voicy.jp/channel/1950/704543'>play link</a>	2024/01/14	36	968
helwa	80	【英語史の輪 #80】ジップの法則 (Zipf's law)	<a href='https://voicy.jp/channel/1950/704486'>play link</a>	2024/01/13	25	151
heldio	957	#957. 3種の言語変化観	<a href='https://voicy.jp/channel/1950/703652'>play link</a>	2024/01/13	19	974
heldio	956	#956. 非人称構文とは？	<a href='https://voicy.jp/channel/1950/702135'>play link</a>	2024/01/12	23	1255
heldio	36	有料 【有料 #36】英語史の古典的名著 Baugh and Cable を読む (36) The Periods in the History of English	<a href='https://voicy.jp/channel/1950/702825'>play link</a>	2024/01/11	26	59
helwa	79	【英語史の輪 #79】逆成 (back-formation) を深掘る	<a href='https://voicy.jp/channel/1950/702731'>play link</a>	2024/01/11	17	87
heldio	955	#955. 妙な英文で味わうアナロジー（および関連する過程）	<a href='https://voicy.jp/channel/1950/701801'>play link</a>	2024/01/11	16	805
heldio	954	#954. インド英語を語る --- 榎木薗鉄也先生との対談	<a href='https://voicy.jp/channel/1950/689987'>play link</a>	2024/01/10	33	1206
helwa	78	【英語史の輪 #78】Englaland から England への重音省略 (haplology)	<a href='https://voicy.jp/channel/1950/700909'>play link</a>	2024/01/09	17	96
heldio	953	"#953. 古英語をちょっとだけ音読して解釈 --- ""Angle"" と ""angel"" のダジャレを検証"	<a href='https://voicy.jp/channel/1950/699839'>play link</a>	2024/01/09	21	1201
heldio	35	有料 【有料 #35】英語史の古典的名著 Baugh and Cable を読む (35) The Origin and Position of English	<a href='https://voicy.jp/channel/1950/700577'>play link</a>	2024/01/08	33	116
heldio	952	#952. 英語に関する素朴な疑問　千本ノック --- 目白大学版	<a href='https://voicy.jp/channel/1950/699809'>play link</a>	2024/01/08	22	1068
heldio	951	#951. コメント返し 2024/01/07(Sun)	<a href='https://voicy.jp/channel/1950/698929'>play link</a>	2024/01/07	17	629
helwa	77	【英語史の輪 #77】umisio さんと『英語語源辞典』で England と English を精読する	<a href='https://voicy.jp/channel/1950/697738'>play link</a>	2024/01/06	4	150
heldio	950	#950. アングル人 (Angles) は天使 (angels) か？ --- 教皇グレゴリウス1世のダジャレで始まったイングランドのキリスト教	<a href='https://voicy.jp/channel/1950/697666'>play link</a>	2024/01/06	14	874
heldio	949	#949. 言語変化と動的平衡	<a href='https://voicy.jp/channel/1950/697004'>play link</a>	2024/01/05	13	630
helwa	76	【英語史の輪 #76】新年会前日の配信 --- 今後の helwa コミュニティに向けて	<a href='https://voicy.jp/channel/1950/696960'>play link</a>	2024/01/04	35	142
heldio	34	"有料 【有料 #34】英語史の古典的名著 Baugh and Cable を読む (34) The Names ""England"" and ""English"""	<a href='https://voicy.jp/channel/1950/696922'>play link</a>	2024/01/04	32	97
heldio	948	#948. なぜ現在分詞形容詞は1語だと名詞の前に置き，2語以上の塊になると名詞の後ろに置くの？	<a href='https://voicy.jp/channel/1950/696333'>play link</a>	2024/01/04	19	1598
heldio	947	#947. なぜ言語は変化しないのか？	<a href='https://voicy.jp/channel/1950/695828'>play link</a>	2024/01/03	17	1318
helwa	75	【英語史の輪 #75】2023年 heldio の推し配信回の投票結果，について講評の続き	<a href='https://voicy.jp/channel/1950/695144'>play link</a>	2024/01/02	20	75
heldio	946	#946. 2023年 heldio の推し配信回の投票結果を発表	<a href='https://voicy.jp/channel/1950/695126'>play link</a>	2024/01/02	17	792
heldio	945	#945. なぜ言語は変化するのか？	<a href='https://voicy.jp/channel/1950/694775'>play link</a>	2024/01/01	15	1857
heldio	944	#944. 大晦日のコメント返し 2023/12/31(Sun)	<a href='https://voicy.jp/channel/1950/694054'>play link</a>	2023/12/31	32	994
helwa	74	【英語史の輪 #74】2023年の helwa 10大ニュース	<a href='https://voicy.jp/channel/1950/694010'>play link</a>	2023/12/30	29	103
heldio	943	#943. 2023年の heldio 10大ニュース	<a href='https://voicy.jp/channel/1950/693562'>play link</a>	2023/12/30	26	914
heldio	942	#942. 著者と語る『World Englishes 入門』（昭和堂，2023年） --- 榎木薗鉄也先生とのインドの英語をめぐる対談	<a href='https://voicy.jp/channel/1950/689955'>play link</a>	2023/12/29	34	1161
helwa	73	【英語史の輪 #73】年末の雑談回	<a href='https://voicy.jp/channel/1950/692454'>play link</a>	2023/12/28	30	131
heldio	941	#941. もやもやする person の語源	<a href='https://voicy.jp/channel/1950/691187'>play link</a>	2023/12/28	25	1121
heldio	940	#940. person と parson は2重語	<a href='https://voicy.jp/channel/1950/690062'>play link</a>	2023/12/27	18	943
helwa	72	【英語史の輪 #72】抽象名詞を作る -ity	<a href='https://voicy.jp/channel/1950/689930'>play link</a>	2023/12/26	20	84
heldio	939	#939. 多義語 personality	<a href='https://voicy.jp/channel/1950/689242'>play link</a>	2023/12/26	19	1290
heldio	33	有料 【有料 #33】英語史の古典的名著 Baugh and Cable を読む (33) The Anglo-Saxon Civilization	<a href='https://voicy.jp/channel/1950/688389'>play link</a>	2023/12/25	30	54
heldio	938	#938. 2023年 heldio の推し配信回の投票を！	<a href='https://voicy.jp/channel/1950/688324'>play link</a>	2023/12/25	22	709
heldio	937	#937. コメント返し 2023/12/24(Sun)	<a href='https://voicy.jp/channel/1950/687384'>play link</a>	2023/12/24	24	667
helwa	71	【英語史の輪 #71】年末年始の heldio/helwa イベントのお知らせ	<a href='https://voicy.jp/channel/1950/687328'>play link</a>	2023/12/23	20	81
heldio	936	#936. 映画と World Englishes は相性がよい！ --- 小林めぐみ先生との対談	<a href='https://voicy.jp/channel/1950/675867'>play link</a>	2023/12/23	17	675
heldio	935	#935. odd よもやま話	<a href='https://voicy.jp/channel/1950/685457'>play link</a>	2023/12/22	23	928
helwa	70	【英語史の輪 #70】なぜ英語史に関心を持ったの？ --- 村岡宗一郎さん，藤原郁弥さんとの対談	<a href='https://voicy.jp/channel/1950/679534'>play link</a>	2023/12/21	30	189
heldio	934	#934. 『シェイクスピア，それが問題だ！』（大修館，2023年） --- 著者の井出新先生との対談	<a href='https://voicy.jp/channel/1950/684525'>play link</a>	2023/12/21	34	1418
heldio	933	#933. 「変なアルファベット表」の投票は済ませましたか？ --- khelf 寺澤さんと投票の呼びかけ	<a href='https://voicy.jp/channel/1950/680113'>play link</a>	2023/12/20	15	685
helwa	69	【英語史の輪 #69】get medieval の続き	<a href='https://voicy.jp/channel/1950/683066'>play link</a>	2023/12/19	20	82
heldio	932	#932. get medieval 「暴力を振るう」--- 岡本広毅さんの NewsPicks トピックスより	<a href='https://voicy.jp/channel/1950/682924'>play link</a>	2023/12/19	32	1093
heldio	931	#931. 使役動詞の謎に迫る --- 村岡宗一郎さんとの対談	<a href='https://voicy.jp/channel/1950/679498'>play link</a>	2023/12/18	16	972
heldio	930	#930. コメント返し 2023/12/17(Sun)	<a href='https://voicy.jp/channel/1950/681486'>play link</a>	2023/12/17	23	803
helwa	68	【英語史の輪 #68】今朝の中学生からの生の声をもっとお届け！	<a href='https://voicy.jp/channel/1950/681470'>play link</a>	2023/12/16	20	78
heldio	929	#929. なぜ英語を学ばなければならないの？ --- 中学生からの反響	<a href='https://voicy.jp/channel/1950/680140'>play link</a>	2023/12/16	27	1146
heldio	928	#928. 『英語語源辞典』を読むシリーズ (6) --- khelf 藤原くんと2重語 compute/count を語る	<a href='https://voicy.jp/channel/1950/679477'>play link</a>	2023/12/15	29	1175
helwa	67	【英語史の輪 #67】同音異義語 count	<a href='https://voicy.jp/channel/1950/679985'>play link</a>	2023/12/14	20	83
heldio	927	#927. 多義語 odd	<a href='https://voicy.jp/channel/1950/679432'>play link</a>	2023/12/14	15	845
heldio	926	#926. 名付ける際はここがポイント【名前プロジェクト企画 #2】（12月11日（月）生放送のアーカイヴ）	<a href='https://voicy.jp/channel/1950/677859'>play link</a>	2023/12/13	4	544
helwa	66	【英語史の輪 #66】博士論文とファイル名	<a href='https://voicy.jp/channel/1950/677955'>play link</a>	2023/12/12	46	163
heldio	925	#925. 著者と語る『World Englishes 入門』（昭和堂，2023年） --- 小林めぐみ先生との韓国の英語をめぐる対談	<a href='https://voicy.jp/channel/1950/675814'>play link</a>	2023/12/12	33	1556
heldio	924	#924. 今週は「変なアルファベット表」のための投票週間です	<a href='https://voicy.jp/channel/1950/673381'>play link</a>	2023/12/11	25	719
heldio	923	#923. コメント返し 2023/12/10(Sun)	<a href='https://voicy.jp/channel/1950/675811'>play link</a>	2023/12/10	23	680
helwa	65	【英語史の輪 #65】英語史の古典的名著 Baugh and Cable を読む (32) The Germanic Conquest --- Taku さんとの実況中継（後半）	<a href='https://voicy.jp/channel/1950/675957'>play link</a>	2023/12/09	2	103
heldio	922	#922. 英語史の古典的名著 Baugh and Cable を読む (32) The Germanic Conquest --- Taku さんとの実況中継（前半）	<a href='https://voicy.jp/channel/1950/675915'>play link</a>	2023/12/09	59	556
heldio	921	#921. 2023年の英単語はコレ --- rizz	<a href='https://voicy.jp/channel/1950/674848'>play link</a>	2023/12/08	21	937
helwa	64	【英語史の輪 #64】明日の helwa 忘年会ヨロシク！　その他諸々も！	<a href='https://voicy.jp/channel/1950/674780'>play link</a>	2023/12/07	20	97
heldio	920	#920. 名付ける際はここがポイント【名前プロジェクト企画 #2】（12月11日（月）生放送）のためのコメント募集	<a href='https://voicy.jp/channel/1950/673577'>play link</a>	2023/12/07	17	673
heldio	32	有料 【有料 #32】英語史の古典的名著 Baugh and Cable を読む (31) The Latin Language in Britain	<a href='https://voicy.jp/channel/1950/673599'>play link</a>	2023/12/06	30	64
heldio	919	#919. リスナーの皆さんにお伺いです --- heldio を聴き始めたきっかけは何ですか？	<a href='https://voicy.jp/channel/1950/672791'>play link</a>	2023/12/06	26	874
helwa	63	【英語史の輪 #63】語彙関係	<a href='https://voicy.jp/channel/1950/672757'>play link</a>	2023/12/05	33	199
heldio	918	#918. オスプレイ (osprey) の語源	<a href='https://voicy.jp/channel/1950/672550'>play link</a>	2023/12/05	15	780
heldio	31	有料 【有料 #31】英語史の古典的名著 Baugh and Cable を読む (30) Romanization of the Island	<a href='https://voicy.jp/channel/1950/671980'>play link</a>	2023/12/04	26	56
heldio	917	#917. パラグアイのダイグロシア --- グアラニ語とスペイン語	<a href='https://voicy.jp/channel/1950/671959'>play link</a>	2023/12/04	15	717
heldio	916	#916. 拡張と水平化 --- 2種類のアナロジー	<a href='https://voicy.jp/channel/1950/670755'>play link</a>	2023/12/03	23	921
helwa	62	【英語史の輪 #62】helwa は本当に輪が広がるワ	<a href='https://voicy.jp/channel/1950/670732'>play link</a>	2023/12/02	28	120
heldio	30	有料 【有料 #30】英語史の古典的名著 Baugh and Cable を読む (29) The Roman Conquest	<a href='https://voicy.jp/channel/1950/670806'>play link</a>	2023/12/02	25	61
heldio	915	#915. 一日早くコメント返し 2023/12/02(Sat)	<a href='https://voicy.jp/channel/1950/670663'>play link</a>	2023/12/02	36	844
heldio	914	#914. なぜアメリカでスペリング競技会が大人気なのか？ --- 『スペリングの英語史』より	<a href='https://voicy.jp/channel/1950/669814'>play link</a>	2023/12/01	15	725
helwa	61	【英語史の輪 #61】12月8日（金）の helwa 忘年会に向けて	<a href='https://voicy.jp/channel/1950/669133'>play link</a>	2023/11/30	20	86
heldio	29	有料 【有料 #29】英語史の古典的名著 Baugh and Cable を読む (28) The Romans in Britain	<a href='https://voicy.jp/channel/1950/669198'>play link</a>	2023/11/30	23	51
heldio	913	#913. 野矢茂樹（著）『言語哲学がはじまる』（岩波新書，2023年）	<a href='https://voicy.jp/channel/1950/669096'>play link</a>	2023/11/30	20	830
heldio	912	#912. ダイグロシアと英語史	<a href='https://voicy.jp/channel/1950/667697'>play link</a>	2023/11/29	14	1095
heldio	28	有料 【有料 #28】英語史の古典的名著 Baugh and Cable を読む (27) The Languages in England before English	<a href='https://voicy.jp/channel/1950/668121'>play link</a>	2023/11/28	36	82
helwa	60	【英語史の輪 #60】アナロジーは本当に秩序をもたらしてくれる？	<a href='https://voicy.jp/channel/1950/668119'>play link</a>	2023/11/28	36	179
heldio	911	#911. アナロジーは言語変化のゴミ箱！？	<a href='https://voicy.jp/channel/1950/667682'>play link</a>	2023/11/28	24	981
heldio	910	#910. 「英語のスペリングは大聖堂のようである」 --- 『スペリングの英語史』から発したメタファー	<a href='https://voicy.jp/channel/1950/666808'>play link</a>	2023/11/27	16	711
heldio	909	#909. コメント返し 2023/11/26(Sun)	<a href='https://voicy.jp/channel/1950/666282'>play link</a>	2023/11/26	23	746
helwa	59	【英語史の輪 #59】アナロジー	<a href='https://voicy.jp/channel/1950/666255'>play link</a>	2023/11/25	27	128
heldio	908	#908. ダイグロシアの事例をもっと挙げます	<a href='https://voicy.jp/channel/1950/665357'>play link</a>	2023/11/25	14	835
helwa	58	【英語史の輪 #58】英語史の古典的名著 Baugh and Cable を読む (26) The Home of the Indo-Europeans -- khelf 藤原くんとの実況中継 3/3	<a href='https://voicy.jp/channel/1950/664250'>play link</a>	2023/11/24	55	73
heldio	907	#907. ダイグロシア (diglossia) って何？	<a href='https://voicy.jp/channel/1950/663349'>play link</a>	2023/11/24	15	1420
helwa	57	【英語史の輪 #57】英語史の古典的名著 Baugh and Cable を読む (26) The Home of the Indo-Europeans -- khelf 藤原くんとの実況中継 2/3	<a href='https://voicy.jp/channel/1950/664202'>play link</a>	2023/11/23	56	58
heldio	906	#906. 英語史の古典的名著 Baugh and Cable を読む (26) The Home of the Indo-Europeans --- khelf 藤原くんとの実況中継 1/3	<a href='https://voicy.jp/channel/1950/664164'>play link</a>	2023/11/23	59	646
heldio	905	#905. モンゴル語周辺について学ぶ回 --- 梅谷博之先生との対談	<a href='https://voicy.jp/channel/1950/659983'>play link</a>	2023/11/22	32	965
heldio	904	#904. potatoes か pianos か？ --- 複数形の -(e)s の問題	<a href='https://voicy.jp/channel/1950/662685'>play link</a>	2023/11/21	19	884
heldio	903	"#903. ""potato kid"" のエピソード --- 『スペリングの英語史』の紹介"	<a href='https://voicy.jp/channel/1950/662005'>play link</a>	2023/11/20	27	1048
heldio	902	#902. コメント返し 2023/11/19(Sun)	<a href='https://voicy.jp/channel/1950/661202'>play link</a>	2023/11/19	22	668
helwa	56	【英語史の輪 #56】話し言葉は立体，書き言葉は平面 --- 伊藤雄馬さんの文字談義	<a href='https://voicy.jp/channel/1950/661201'>play link</a>	2023/11/18	20	93
heldio	901	#901. 著者と語る『World Englishes 入門』（昭和堂，2023年） --- 梅谷博之先生とのモンゴルの英語をめぐる対談	<a href='https://voicy.jp/channel/1950/659955'>play link</a>	2023/11/18	25	972
heldio	900	#900. なぜ think の過去形は thought なの？ --- khelf 藤原くんとの対談で heldio 史上もっとも難しい回となるか！？	<a href='https://voicy.jp/channel/1950/652410'>play link</a>	2023/11/17	21	964
helwa	55	【英語史の輪 #55】無文字言語 --- 伊藤雄馬さんの『ムラブリ』より	<a href='https://voicy.jp/channel/1950/659868'>play link</a>	2023/11/16	20	112
heldio	899	#899. 大学院生たちと『英語史新聞』第7号について語りました	<a href='https://voicy.jp/channel/1950/658333'>play link</a>	2023/11/16	20	737
heldio	898	#898. 井出新先生のご著書の紹介 --- 『シェイクスピア　それが問題だ！』（大修館，2023年）	<a href='https://voicy.jp/channel/1950/656877'>play link</a>	2023/11/15	19	1032
helwa	54	【英語史の輪 #54】『英語史新聞』第7号慰労会を終えました	<a href='https://voicy.jp/channel/1950/658362'>play link</a>	2023/11/14	20	99
heldio	897	#897. 『英語語源辞典』を読むシリーズ (5) --- khelf 藤原くんと marble を語る第3弾	<a href='https://voicy.jp/channel/1950/652391'>play link</a>	2023/11/14	26	980
heldio	26	有料 【有料 #26】英語史の古典的名著 Baugh and Cable を読む (25) Twentieth-century Discoveries	<a href='https://voicy.jp/channel/1950/657607'>play link</a>	2023/11/13	39	81
heldio	896	#896. 共時的な動詞活用の分類 --- 「ゆる言語学ラジオ」の「不規則動詞はなぜ存在するのか？」からのインスピレーション	<a href='https://voicy.jp/channel/1950/656837'>play link</a>	2023/11/13	26	1438
heldio	895	#895. コメント返し 2023/11/12(Sun)	<a href='https://voicy.jp/channel/1950/656151'>play link</a>	2023/11/12	37	978
helwa	53	【英語史の輪 #53】酒飲みが大騒ぎしたセミコロン	<a href='https://voicy.jp/channel/1950/656150'>play link</a>	2023/11/11	30	160
heldio	894	#894. 『英語語源辞典』を読むシリーズ (4) --- khelf 藤原くんと marble を語る第2弾	<a href='https://voicy.jp/channel/1950/652365'>play link</a>	2023/11/11	29	1145
heldio	893	#893. 英語史の古典的名著 Baugh and Cable を読む (24) Celtic --- 和田忍先生との実況中継（前半）	<a href='https://voicy.jp/channel/1950/654865'>play link</a>	2023/11/10	10	762
helwa	52	【英語史の輪 #52】英語史の古典的名著 Baugh and Cable を読む (24) Celtic --- 和田忍先生との実況中継（後半）	<a href='https://voicy.jp/channel/1950/654917'>play link</a>	2023/11/09	10	103
heldio	892	#892. Celtic --- ケルティックかセルティックか？	<a href='https://voicy.jp/channel/1950/653890'>play link</a>	2023/11/09	17	873
heldio	891	#891. 『英語語源辞典』を読むシリーズ (3) --- khelf 藤原くんと marble を語る第1弾	<a href='https://voicy.jp/channel/1950/652359'>play link</a>	2023/11/08	14	886
heldio	25	有料 【有料 #25】英語史の古典的名著 Baugh and Cable を読む (23) Germanic	<a href='https://voicy.jp/channel/1950/653044'>play link</a>	2023/11/07	39	84
helwa	51	【英語史の輪 #51】you のおそるべき多義性	<a href='https://voicy.jp/channel/1950/652924'>play link</a>	2023/11/07	20	100
heldio	890	#890. 紙文字からテキストへの変化は革命的？	<a href='https://voicy.jp/channel/1950/652331'>play link</a>	2023/11/07	14	798
heldio	889	#889. 話し上手は明確な目的地と地図をもっている	<a href='https://voicy.jp/channel/1950/651718'>play link</a>	2023/11/06	14	739
heldio	888	#888. コメント返し 2023/11/05(Sun)	<a href='https://voicy.jp/channel/1950/650930'>play link</a>	2023/11/05	26	727
helwa	50	【英語史の輪 #50】you について語る	<a href='https://voicy.jp/channel/1950/650915'>play link</a>	2023/11/04	20	112
heldio	887	#887. khelf 寺澤志帆さんと「変なアルファベット表」企画の中間報告	<a href='https://voicy.jp/channel/1950/647236'>play link</a>	2023/11/04	14	656
heldio	24	有料 【有料 #24】英語史の古典的名著 Baugh and Cable を読む (22) Balto-Slavic	<a href='https://voicy.jp/channel/1950/647840'>play link</a>	2023/11/03	30	70
heldio	886	#886. ゼミ合宿収録シリーズ (9) --- なぜ堀田ゼミを選んだの？	<a href='https://voicy.jp/channel/1950/627010'>play link</a>	2023/11/03	23	610
helwa	49	【英語史の輪 #49】ピリオド，セミコロン，コロンでこんなに意味が変わる！	<a href='https://voicy.jp/channel/1950/649559'>play link</a>	2023/11/02	20	98
heldio	885	#885. 慶早戦か早慶戦か？ --- khelf 藤原くんと寺澤さんとの雑談	<a href='https://voicy.jp/channel/1950/647260'>play link</a>	2023/11/02	21	793
